model,dimension,level_num,case,snrs,obs_level,chan_levels,off_levels,granularity_level,enhanced_acc,original_acc,delta_acc,original_failed_0p5,enhanced_failed_0p5
E-A,chan,0,bd_chan_l0,"12,14,16,18,20,22,24,26,28,30",0,0,0,0.0,1.0,1.0,0.0,False,False
E-A,chan,1,bd_chan_l1,"12,14,16,18,20,22,24,26,28,30",0,1,0,0.0,1.0,1.0,0.0,False,False
E-A,chan,2,bd_chan_l2,"6,8,10",1,2,1,1.0,0.951179820992677,0.9251423921887714,0.026037428803905582,False,False
E-A,chan,3,bd_chan_l3,"6,8,10",1,3,1,1.0,0.849742337944128,0.8237049091402224,0.026037428803905582,False,False
E-A,chan,4,bd_chan_l4,"0,2,4",2,4,2,2.0,0.4045207956600362,0.3383363471971067,0.06618444846292948,True,True
E-A,chan,5,bd_chan_l5,"-6,-4,-2",3,5,3,3.0,0.2640716126407161,0.2161942221619422,0.0478773904787739,True,True
E-A,gra,0,bd_gra_l0,"12,14,16,18,20,22,24,26,28,30",0,0,0,0.0,1.0,1.0,0.0,False,False
E-A,gra,1,bd_gra_l1,"12,14,16,18,20,22,24,26,28,30",0,0,0,1.0,1.0,1.0,0.0,False,False
E-A,gra,2,bd_gra_l2,"6,8,10",1,1,1,2.0,0.944484629294756,0.913381555153707,0.03110307414104896,False,False
E-A,gra,3,bd_gra_l3,"6,8,10",1,1,1,3.0,0.8727790587277906,0.7762104977621049,0.09656856096568567,False,False
E-A,gra,4,bd_gra_l4,"0,2,4",2,2,2,4.0,0.5210503472222222,0.4456380208333333,0.0754123263888889,True,False
E-A,gra,5,bd_gra_l5,"-6,-4,-2",3,3,3,5.0,0.4379746835443038,0.3980108499095841,0.039963833634719725,True,True
E-A,obs,0,bd_obs_l0,"12,14,16,18,20,22,24,26,28,30",0,0,0,0.0,1.0,1.0,0.0,False,False
E-A,obs,1,bd_obs_l1,"12,14,16,18,20,22,24,26,28,30",1,0,0,0.0,1.0,1.0,0.0,False,False
E-A,obs,2,bd_obs_l2,"6,8,10",2,1,1,1.0,0.9609438567941416,0.886899918633035,0.07404393816110666,False,False
E-A,obs,3,bd_obs_l3,"6,8,10",3,1,1,1.0,0.881475454298888,0.8654732845131543,0.016002169785733655,False,False
E-A,obs,4,bd_obs_l4,"0,2,4",4,2,2,2.0,0.5773960216998192,0.4851717902350814,0.0922242314647378,True,False
E-A,obs,5,bd_obs_l5,"-6,-4,-2",5,3,3,3.0,0.2380306523803065,0.2085989420859894,0.0294317102943171,True,True
E-A,off,0,bd_off_l0,"12,14,16,18,20,22,24,26,28,30",0,0,0,0.0,1.0,1.0,0.0,False,False
E-A,off,1,bd_off_l1,"12,14,16,18,20,22,24,26,28,30",0,0,1,0.0,1.0,1.0,0.0,False,False
E-A,off,2,bd_off_l2,"6,8,10",1,1,2,1.0,0.998372660699756,0.9959316517493898,0.0024410089503662524,False,False
E-A,off,3,bd_off_l3,"6,8,10",1,1,3,1.0,0.9948467588825604,0.972877678329265,0.021969080553295384,False,False
E-A,off,4,bd_off_l4,"0,2,4",2,2,4,2.0,0.7005424954792043,0.6001808318264015,0.10036166365280286,False,False
E-A,off,5,bd_off_l5,"-6,-4,-2",3,3,5,3.0,0.3397531533975315,0.3138478231384782,0.025905330259053283,True,True
E-A,snr,0,bd_snr_l0,"12,14,16,18,20,22,24,26,28,30",0,0,0,0.0,1.0,1.0,0.0,False,False
E-A,snr,1,bd_snr_l1,"6,8,10",0,0,0,0.0,1.0,1.0,0.0,False,False
E-A,snr,2,bd_snr_l2,"0,2,4",1,1,1,1.0,0.9926769731489016,0.9696229997287767,0.02305397342012483,False,False
E-A,snr,3,bd_snr_l3,"-6,-4,-2",1,1,1,1.0,0.9815568212639002,0.9281258475725522,0.05343097369134797,False,False
E-A,snr,4,bd_snr_l4,"-12,-10,-8",2,2,2,2.0,0.5835443037974684,0.4819168173598553,0.10162748643761305,True,False
E-A,snr,5,bd_snr_l5,"-20,-18,-16,-14",3,3,3,3.0,0.2911199267622826,0.2560268538297223,0.03509307293256031,True,True
IQFormer,chan,0,bd_chan_l0,"12,14,16,18",0,0,0,0.0,1.0,1.0,0.0,False,False
IQFormer,chan,1,bd_chan_l1,"12,14,16,18",0,1,0,0.0,0.9951179820992676,0.9792514239218876,0.01586655817738003,False,False
IQFormer,chan,2,bd_chan_l2,"6,8,10",1,2,1,1.0,0.9636560889612152,0.956604285326824,0.007051803634391285,False,False
IQFormer,chan,3,bd_chan_l3,"6,8,10",1,3,1,1.0,0.7721724979658259,0.7436940602115542,0.028478437754271724,False,False
IQFormer,chan,4,bd_chan_l4,"0,2,4",2,4,2,2.0,0.4815551537070524,0.4636528028933092,0.017902350813743195,True,True
IQFormer,chan,5,bd_chan_l5,"-6,-4,-2",3,5,3,3.0,0.2901125729011257,0.2838735928387359,0.006238980062389765,True,True
IQFormer,gra,0,bd_gra_l0,"12,14,16,18",0,0,0,0.0,1.0,1.0,0.0,False,False
IQFormer,gra,1,bd_gra_l1,"12,14,16,18",0,0,0,1.0,1.0,1.0,0.0,False,False
IQFormer,gra,2,bd_gra_l2,"6,8,10",1,1,1,2.0,0.9808318264014466,0.9649186256781194,0.015913200723327248,False,False
IQFormer,gra,3,bd_gra_l3,"6,8,10",1,1,1,3.0,0.933948189339482,0.8970568289705683,0.03689136036891372,False,False
IQFormer,gra,4,bd_gra_l4,"0,2,4",2,2,2,4.0,0.7364366319444444,0.6884765625,0.04796006944444442,False,False
IQFormer,gra,5,bd_gra_l5,"-6,-4,-2",3,3,3,5.0,0.567992766726944,0.5386980108499095,0.02929475587703445,False,False
IQFormer,obs,0,bd_obs_l0,"12,14,16,18",0,0,0,0.0,1.0,1.0,0.0,False,False
IQFormer,obs,1,bd_obs_l1,"12,14,16,18",1,0,0,0.0,1.0,0.999593165174939,0.00040683482506098656,False,False
IQFormer,obs,2,bd_obs_l2,"6,8,10",2,1,1,1.0,0.9981014374830486,0.9967453213995118,0.001356116083536807,False,False
IQFormer,obs,3,bd_obs_l3,"6,8,10",3,1,1,1.0,0.9989151071331706,0.9989151071331706,0.0,False,False
IQFormer,obs,4,bd_obs_l4,"0,2,4",4,2,2,2.0,0.9177215189873418,0.8810126582278481,0.036708860759493644,False,False
IQFormer,obs,5,bd_obs_l5,"-6,-4,-2",5,3,3,3.0,0.3792214837922148,0.3557574935575749,0.02346399023463991,True,True
IQFormer,off,0,bd_off_l0,"12,14,16,18",0,0,0,0.0,1.0,1.0,0.0,False,False
IQFormer,off,1,bd_off_l1,"12,14,16,18",0,0,1,0.0,0.999593165174939,0.999186330349878,0.00040683482506098656,False,False
IQFormer,off,2,bd_off_l2,"6,8,10",1,1,2,1.0,0.9972877678329264,0.9972877678329264,0.0,False,False
IQFormer,off,3,bd_off_l3,"6,8,10",1,1,3,1.0,0.997558991049634,0.9972877678329264,0.0002712232167075834,False,False
IQFormer,off,4,bd_off_l4,"0,2,4",2,2,4,2.0,0.8688969258589512,0.8215189873417722,0.047377938517178975,False,False
