model,dimension,level_num,original_acc,enhanced_acc,delta_acc
E-A,chan,1,1.0,1.0,0.0
E-A,chan,2,0.9251423921887714,0.951179820992677,0.0260374288039055
E-A,chan,3,0.8237049091402224,0.849742337944128,0.0260374288039055
E-A,chan,4,0.3383363471971067,0.4045207956600362,0.0661844484629294
E-A,chan,5,0.2161942221619422,0.2640716126407161,0.0478773904787739
E-A,gra,1,1.0,1.0,0.0
E-A,gra,2,0.913381555153707,0.944484629294756,0.0311030741410489
E-A,gra,3,0.7762104977621049,0.8727790587277906,0.0965685609656856
E-A,gra,4,0.4456380208333333,0.5210503472222222,0.0754123263888889
E-A,gra,5,0.3980108499095841,0.4379746835443038,0.0399638336347197
E-A,obs,1,1.0,1.0,0.0
E-A,obs,2,0.886899918633035,0.9609438567941416,0.0740439381611066
E-A,obs,3,0.8654732845131543,0.881475454298888,0.0160021697857336
E-A,obs,4,0.4851717902350814,0.5773960216998192,0.0922242314647378
E-A,obs,5,0.2085989420859894,0.2380306523803065,0.0294317102943171
E-A,off,1,1.0,1.0,0.0
E-A,off,2,0.9959316517493898,0.998372660699756,0.0024410089503662
E-A,off,3,0.972877678329265,0.9948467588825604,0.0219690805532953
E-A,off,4,0.6001808318264015,0.7005424954792043,0.1003616636528028
E-A,off,5,0.3138478231384782,0.3397531533975315,0.0259053302590532
E-A,snr,1,1.0,1.0,0.0
E-A,snr,2,0.9696229997287767,0.9926769731489016,0.0230539734201248
E-A,snr,3,0.9281258475725522,0.9815568212639002,0.0534309736913479
E-A,snr,4,0.4819168173598553,0.5835443037974684,0.101627486437613
E-A,snr,5,0.2560268538297223,0.2911199267622826,0.0350930729325603
IQFormer,chan,1,0.9792514239218876,0.9951179820992676,0.01586655817738
IQFormer,chan,2,0.956604285326824,0.9636560889612152,0.0070518036343912
IQFormer,chan,3,0.7436940602115542,0.7721724979658259,0.0284784377542717
IQFormer,chan,4,0.4636528028933092,0.4815551537070524,0.0179023508137431
IQFormer,chan,5,0.2838735928387359,0.2901125729011257,0.0062389800623897
IQFormer,gra,1,1.0,1.0,0.0
IQFormer,gra,2,0.9649186256781194,0.9808318264014466,0.0159132007233272
IQFormer,gra,3,0.8970568289705683,0.933948189339482,0.0368913603689137
IQFormer,gra,4,0.6884765625,0.7364366319444444,0.0479600694444444
IQFormer,gra,5,0.5386980108499095,0.567992766726944,0.0292947558770344
IQFormer,obs,1,0.999593165174939,1.0,0.0004068348250609
IQFormer,obs,2,0.9967453213995118,0.9981014374830486,0.0013561160835368
IQFormer,obs,3,0.9989151071331706,0.9989151071331706,0.0
IQFormer,obs,4,0.8810126582278481,0.9177215189873418,0.0367088607594936
IQFormer,obs,5,0.3557574935575749,0.3792214837922148,0.0234639902346399
IQFormer,off,1,0.999186330349878,0.999593165174939,0.0004068348250609
IQFormer,off,2,0.9972877678329264,0.9972877678329264,0.0
IQFormer,off,3,0.9972877678329264,0.997558991049634,0.0002712232167075
IQFormer,off,4,0.8215189873417722,0.8688969258589512,0.0473779385171789
IQFormer,off,5,0.4542248745422487,0.477417604774176,0.0231927302319273
IQFormer,snr,1,0.9994577006507592,0.9994577006507592,0.0
IQFormer,snr,2,0.9956604285326824,0.9967453213995118,0.0010848928668293
IQFormer,snr,3,0.9905071874152428,0.9924057499321942,0.0018985625169514
IQFormer,snr,4,0.8216998191681736,0.8462929475587704,0.0245931283905967
IQFormer,snr,5,0.482250025429763,0.5187671650900214,0.0365171396602584
MCNet,chan,1,0.9969075520833334,0.9967447916666666,-0.0001627604166667
MCNet,chan,2,0.8212639001898563,0.880661784648766,0.0593978844589097
MCNet,chan,3,0.7078925956061839,0.7737998372660699,0.065907241659886
MCNet,chan,4,0.3531645569620253,0.4750452079566004,0.121880650994575
MCNet,chan,5,0.1392920113929201,0.2501017225010172,0.110809711108097
MCNet,gra,1,0.9918619791666666,0.993408203125,0.0015462239583333
MCNet,gra,2,0.8139240506329114,0.8115732368896926,-0.0023508137432187
MCNet,gra,3,0.6839820968398209,0.7329445273294453,0.0489624304896243
MCNet,gra,4,0.349609375,0.5536024305555556,0.2039930555555555
MCNet,gra,5,0.2308318264014466,0.4870705244122966,0.25623869801085
MCNet,obs,1,0.9988606770833334,0.9930013020833334,-0.005859375
MCNet,obs,2,0.7472199620287496,0.91402224030377,0.1668022782750203
MCNet,obs,3,0.4819636560889612,0.8909682668836453,0.4090046107946841
MCNet,obs,4,0.2318264014466546,0.5934900542495479,0.3616636528028933
MCNet,obs,5,0.1174555811745558,0.2328767123287671,0.1154211311542113
MCNet,off,1,0.998046875,0.9908854166666666,-0.0071614583333333
