profile,case,stage,dimension,level,snrs,obs_level,chan_levels,off_levels,granularity_level,granularity_num_classes,granularity_mods,aux_level_cap,aux_policy,target_length_for_model_pack
mcnet,base_source_like,boundary,base,source,"-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",1,2,1,,,,,fixed_base,1024
mcnet,bd_snr_l0,boundary,snr,0,"12,14,16,18,20,22,24,26,28,30",0,0,0,0,4,"BPSK,QPSK,16QAM,FM",0,fixed_cap,1024
mcnet,bd_snr_l1,boundary,snr,1,"6,8,10",0,0,0,0,4,"BPSK,QPSK,16QAM,FM",0,fixed_cap,1024
mcnet,bd_snr_l2,boundary,snr,2,"0,2,4",1,1,1,1,8,"OOK,4ASK,BPSK,QPSK,8PSK,16QAM,FM,GMSK",1,fixed_cap,1024
mcnet,bd_snr_l3,boundary,snr,3,"-6,-4,-2",1,1,1,1,8,"OOK,4ASK,BPSK,QPSK,8PSK,16QAM,FM,GMSK",1,fixed_cap,1024
mcnet,bd_snr_l4,boundary,snr,4,"-12,-10,-8",2,2,2,2,12,"OOK,4ASK,8ASK,BPSK,QPSK,8PSK,16PSK,16QAM,32QAM,FM,GMSK,OQPSK",2,fixed_cap,1024
mcnet,bd_snr_l5,boundary,snr,5,"-20,-18,-16,-14",3,3,3,3,16,"OOK,4ASK,8ASK,BPSK,QPSK,8PSK,16PSK,32PSK,16APSK,32APSK,16QAM,32QAM,64QAM,FM,GMSK,OQPSK",3,fixed_cap,1024
mcnet,bd_obs_l0,boundary,obs,0,"12,14,16,18,20,22,24,26,28,30",0,0,0,0,4,"BPSK,QPSK,16QAM,FM",0,fixed_cap,1024
mcnet,bd_obs_l1,boundary,obs,1,"12,14,16,18,20,22,24,26,28,30",1,0,0,0,4,"BPSK,QPSK,16QAM,FM",0,fixed_cap,1024
mcnet,bd_obs_l2,boundary,obs,2,"6,8,10",2,1,1,1,8,"OOK,4ASK,BPSK,QPSK,8PSK,16QAM,FM,GMSK",1,fixed_cap,1024
mcnet,bd_obs_l3,boundary,obs,3,"6,8,10",3,1,1,1,8,"OOK,4ASK,BPSK,QPSK,8PSK,16QAM,FM,GMSK",1,fixed_cap,1024
mcnet,bd_obs_l4,boundary,obs,4,"0,2,4",4,2,2,2,12,"OOK,4ASK,8ASK,BPSK,QPSK,8PSK,16PSK,16QAM,32QAM,FM,GMSK,OQPSK",2,fixed_cap,1024
mcnet,bd_obs_l5,boundary,obs,5,"-6,-4,-2",5,3,3,3,16,"OOK,4ASK,8ASK,BPSK,QPSK,8PSK,16PSK,32PSK,16APSK,32APSK,16QAM,32QAM,64QAM,FM,GMSK,OQPSK",3,fixed_cap,1024
mcnet,bd_chan_l0,boundary,chan,0,"12,14,16,18,20,22,24,26,28,30",0,0,0,0,4,"BPSK,QPSK,16QAM,FM",0,fixed_cap,1024
mcnet,bd_chan_l1,boundary,chan,1,"12,14,16,18,20,22,24,26,28,30",0,1,0,0,4,"BPSK,QPSK,16QAM,FM",0,fixed_cap,1024
mcnet,bd_chan_l2,boundary,chan,2,"6,8,10",1,2,1,1,8,"OOK,4ASK,BPSK,QPSK,8PSK,16QAM,FM,GMSK",1,fixed_cap,1024
mcnet,bd_chan_l3,boundary,chan,3,"6,8,10",1,3,1,1,8,"OOK,4ASK,BPSK,QPSK,8PSK,16QAM,FM,GMSK",1,fixed_cap,1024
mcnet,bd_chan_l4,boundary,chan,4,"0,2,4",2,4,2,2,12,"OOK,4ASK,8ASK,BPSK,QPSK,8PSK,16PSK,16QAM,32QAM,FM,GMSK,OQPSK",2,fixed_cap,1024
mcnet,bd_chan_l5,boundary,chan,5,"-6,-4,-2",3,5,3,3,16,"OOK,4ASK,8ASK,BPSK,QPSK,8PSK,16PSK,32PSK,16APSK,32APSK,16QAM,32QAM,64QAM,FM,GMSK,OQPSK",3,fixed_cap,1024
mcnet,bd_off_l0,boundary,off,0,"12,14,16,18,20,22,24,26,28,30",0,0,0,0,4,"BPSK,QPSK,16QAM,FM",0,fixed_cap,1024
mcnet,bd_off_l1,boundary,off,1,"12,14,16,18,20,22,24,26,28,30",0,0,1,0,4,"BPSK,QPSK,16QAM,FM",0,fixed_cap,1024
mcnet,bd_off_l2,boundary,off,2,"6,8,10",1,1,2,1,8,"OOK,4ASK,BPSK,QPSK,8PSK,16QAM,FM,GMSK",1,fixed_cap,1024
mcnet,bd_off_l3,boundary,off,3,"6,8,10",1,1,3,1,8,"OOK,4ASK,BPSK,QPSK,8PSK,16QAM,FM,GMSK",1,fixed_cap,1024
mcnet,bd_off_l4,boundary,off,4,"0,2,4",2,2,4,2,12,"OOK,4ASK,8ASK,BPSK,QPSK,8PSK,16PSK,16QAM,32QAM,FM,GMSK,OQPSK",2,fixed_cap,1024
mcnet,bd_off_l5,boundary,off,5,"-6,-4,-2",3,3,5,3,16,"OOK,4ASK,8ASK,BPSK,QPSK,8PSK,16PSK,32PSK,16APSK,32APSK,16QAM,32QAM,64QAM,FM,GMSK,OQPSK",3,fixed_cap,1024
mcnet,bd_gra_l0,boundary,gra,0,"12,14,16,18,20,22,24,26,28,30",0,0,0,0,4,"BPSK,QPSK,16QAM,FM",0,fixed_cap,1024
mcnet,bd_gra_l1,boundary,gra,1,"12,14,16,18,20,22,24,26,28,30",0,0,0,1,8,"OOK,4ASK,BPSK,QPSK,8PSK,16QAM,FM,GMSK",0,fixed_cap,1024
mcnet,bd_gra_l2,boundary,gra,2,"6,8,10",1,1,1,2,12,"OOK,4ASK,8ASK,BPSK,QPSK,8PSK,16PSK,16QAM,32QAM,FM,GMSK,OQPSK",1,fixed_cap,1024
mcnet,bd_gra_l3,boundary,gra,3,"6,8,10",1,1,1,3,16,"OOK,4ASK,8ASK,BPSK,QPSK,8PSK,16PSK,32PSK,16APSK,32APSK,16QAM,32QAM,64QAM,FM,GMSK,OQPSK",1,fixed_cap,1024
mcnet,bd_gra_l4,boundary,gra,4,"0,2,4",2,2,2,4,20,"OOK,4ASK,8ASK,BPSK,QPSK,8PSK,16PSK,32PSK,16APSK,32APSK,64APSK,128APSK,16QAM,32QAM,64QAM,128QAM,256QAM,FM,GMSK,OQPSK",2,fixed_cap,1024
mcnet,bd_gra_l5,boundary,gra,5,"-6,-4,-2",3,3,3,5,24,"OOK,4ASK,8ASK,BPSK,QPSK,8PSK,16PSK,32PSK,16APSK,32APSK,64APSK,128APSK,16QAM,32QAM,64QAM,128QAM,256QAM,AM-SSB-WC,AM-SSB-SC,AM-DSB-WC,AM-DSB-SC,FM,GMSK,OQPSK",3,fixed_cap,1024
mcnet,stress_pair_snr5_obs5,stress,snr+obs,5+5,"-20,-18,-16,-14",5,2,1,,,,,stress_all_pairs_high,1024
mcnet,stress_pair_snr5_chan5,stress,snr+chan,5+5,"-20,-18,-16,-14",1,5,1,,,,,stress_all_pairs_high,1024
mcnet,stress_pair_snr5_off5,stress,snr+off,5+5,"-20,-18,-16,-14",1,2,5,,,,,stress_all_pairs_high,1024
