record_type,scale,level,case,before_accuracy,after_accuracy
single_scale,channel_fading,1,bd_chan_l1,0.9969075521,0.9967447917
single_scale,channel_fading,2,bd_chan_l2,0.8212639002,0.8806617846
single_scale,channel_fading,3,bd_chan_l3,0.7078925956,0.7737998373
single_scale,channel_fading,4,bd_chan_l4,0.3531645570,0.4750452080
single_scale,channel_fading,5,bd_chan_l5,0.1392920114,0.2501017225
single_scale,class_granularity,1,bd_gra_l1,0.9918619792,0.9934082031
single_scale,class_granularity,2,bd_gra_l2,0.8139240506,0.8115732369
single_scale,class_granularity,3,bd_gra_l3,0.6839820968,0.7329445273
single_scale,class_granularity,4,bd_gra_l4,0.3496093750,0.5536024306
single_scale,class_granularity,5,bd_gra_l5,0.2308318264,0.4870705244
single_scale,observation_length,1,bd_obs_l1,0.9988606771,0.9930013021
single_scale,observation_length,2,bd_obs_l2,0.7472199620,0.9140222403
single_scale,observation_length,3,bd_obs_l3,0.4819636561,0.8909682669
single_scale,observation_length,4,bd_obs_l4,0.2318264014,0.5934900542
single_scale,observation_length,5,bd_obs_l5,0.1174555812,0.2328767123
single_scale,synchronization_offset,1,bd_off_l1,0.9980468750,0.9908854167
single_scale,synchronization_offset,2,bd_off_l2,0.9012747491,0.9221589368
single_scale,synchronization_offset,3,bd_off_l3,0.8874423651,0.9275834011
single_scale,synchronization_offset,4,bd_off_l4,0.4316455696,0.6880650995
single_scale,synchronization_offset,5,bd_off_l5,0.1284416113,0.2791265428
single_scale,snr,1,bd_snr_l1,0.8877440347,0.8709327549
single_scale,snr,2,bd_snr_l2,0.9151071332,0.9327366423
single_scale,snr,3,bd_snr_l3,0.8877135883,0.9077841063
single_scale,snr,4,bd_snr_l4,0.3768535262,0.6405063291
single_scale,snr,5,bd_snr_l5,0.1146373716,0.2572474825
bivariate,snr+observation_length,5,stress_pair_snr5_obs5,0.0476739455,0.3888512139
source,source_dataset,0,RadioML2018.01A,0.5821361502,0.5936952269
