model,case,dimension,level,original_acc,enhanced_acc,delta_acc
E-A,stress_pair_snr5_obs5,snr+obs,5+5,0.2956055879560559,0.3507391835073918,0.0551335955513359
E-A,stress_pair_snr5_chan5,snr+chan,5+5,0.4217414892174149,0.4784348297843483,0.0566933405669334
E-A,stress_pair_snr5_off5,snr+off,5+5,0.4854197748541977,0.5912789909127899,0.1058592160585922
E-A,stress_pair_snr5_gra5,snr+gra,5+5,0.6250508612505086,0.702088702020887,0.0770378407703784
E-A,stress_pair_obs5_chan5,obs+chan,5+5,0.3266142915271213,0.3425772324642399,0.0159629409371185
E-A,stress_pair_obs5_off5,obs+off,5+5,0.4959153651131491,0.526078020177992,0.0301626550648428
E-A,stress_pair_obs5_gra5,obs+gra,5+5,0.526589251619769,0.5609147912819389,0.0343255396621698
E-A,stress_pair_chan5_off5,chan+off,5+5,0.6002691790040376,0.6297119367325008,0.0294427577284631
E-A,stress_pair_chan5_gra5,chan+gra,5+5,0.6278861101547257,0.6508915250346907,0.0230054148799649
E-A,stress_pair_off5_gra5,off+gra,5+5,0.8473608980980104,0.8771166546683777,0.0297557565703673
E-A,stress_all_snr5_obs5_chan5_off5_gra5,snr+obs+chan+off+gra,5+5+5+5+5,0.179031601790316,0.1949681269496812,0.0159365251593651
IQFormer,stress_pair_snr5_obs5,snr+obs,5+5,0.7016818120168181,0.7163298521632985,0.0146480401464803
IQFormer,stress_pair_snr5_chan5,snr+chan,5+5,0.394208598942086,0.409127899091279,0.014919300149193
IQFormer,stress_pair_snr5_off5,snr+off,5+5,0.7274515122745151,0.7762104977621049,0.0487589854875898
IQFormer,stress_pair_snr5_gra5,snr+gra,5+5,0.8160857181608572,0.860301098603011,0.0442153804421537
IQFormer,stress_pair_obs5_chan5,obs+chan,5+5,0.4484998914930556,0.4601915147569444,0.0116916232638888
IQFormer,stress_pair_obs5_off5,obs+off,5+5,0.7873806423611112,0.8167046440972222,0.029324001736111
IQFormer,stress_pair_obs5_gra5,obs+gra,5+5,0.8457166883680556,0.8715684678819444,0.0258517795138888
IQFormer,stress_pair_chan5_off5,chan+off,5+5,0.5605875651041666,0.5667182074652778,0.0061306423611111
IQFormer,stress_pair_chan5_gra5,chan+gra,5+5,0.5553927951388888,0.5688340928819444,0.0134412977430555
IQFormer,stress_pair_off5_gra5,off+gra,5+5,0.9449055989583334,0.9563395182291666,0.0114339192708332
IQFormer,stress_all_snr5_obs5_chan5_off5_gra5,snr+obs+chan+off+gra,5+5+5+5+5,0.2866540078665401,0.3040824630408246,0.0174284551742844
MCNet,stress_pair_snr5_obs5,snr+obs,5+5,0.0476739454767394,0.3888512138885121,0.3411772684117727
MCNet,stress_pair_snr5_chan5,snr+chan,5+5,0.3900040689000407,0.462498304624983,0.0724942357249422
MCNet,stress_pair_snr5_off5,snr+off,5+5,0.5006103350061033,0.5912111759121118,0.0906008409060085
MCNet,stress_pair_snr5_gra5,snr+gra,5+5,0.6339346263393463,0.7100908721009087,0.0761562457615624
MCNet,stress_pair_obs5_chan5,obs+chan,5+5,0.3181111563220549,0.3684100702160735,0.0502989138940186
MCNet,stress_pair_obs5_off5,obs+off,5+5,0.459242334136697,0.5359583502874373,0.0767160161507403
MCNet,stress_pair_obs5_gra5,obs+gra,5+5,0.5242417603054869,0.599048483520611,0.0748067232151241
MCNet,stress_pair_chan5_off5,chan+off,5+5,0.5834402746043172,0.6126952330276378,0.0292549584233206
MCNet,stress_pair_chan5_gra5,chan+gra,5+5,0.6113180381232589,0.6359301803916659,0.024612142268407
MCNet,stress_pair_off5_gra5,off+gra,5+5,0.8176468747065636,0.8458689369515999,0.0282220622450363
MCNet,stress_all_snr5_obs5_chan5_off5_gra5,snr+obs+chan+off+gra,5+5+5+5+5,0.0567611555676115,0.1926624169266241,0.1359012613590126
Tr-AMR,stress_pair_snr5_obs5,snr+obs,5+5,0.2579004475790045,0.3027261630272616,0.044825715448257
Tr-AMR,stress_pair_snr5_chan5,snr+chan,5+5,0.3632171436321714,0.3819340838193408,0.0187169401871694
Tr-AMR,stress_pair_snr5_off5,snr+off,5+5,0.0425200054252,0.387901803879018,0.345381798453818
Tr-AMR,stress_pair_snr5_gra5,snr+gra,5+5,0.6518377865183779,0.6645191916451919,0.012681405126814
Tr-AMR,stress_pair_obs5_chan5,obs+chan,5+5,0.3853822287777834,0.3884848176593256,0.0031025888815421
Tr-AMR,stress_pair_obs5_off5,obs+off,5+5,0.5097400946035299,0.5169455605852534,0.0072054659817235
Tr-AMR,stress_pair_obs5_gra5,obs+gra,5+5,0.5684519268263737,0.5739111269348796,0.0054592001085058
Tr-AMR,stress_pair_chan5_off5,chan+off,5+5,0.5634335316955733,0.5688249156536629,0.0053913839580895
Tr-AMR,stress_pair_chan5_gra5,chan+gra,5+5,0.5922045335096553,0.594866317413492,0.0026617839038367
Tr-AMR,stress_pair_off5_gra5,off+gra,5+5,0.8091653527287523,0.8146245528372582,0.0054592001085058
Tr-AMR,stress_all_snr5_obs5_chan5_off5_gra5,snr+obs+chan+off+gra,5+5+5+5+5,0.1897463718974637,0.2008002170080021,0.0110538451105383
