model,case,dimension,level,snrs,obs_level,chan_levels,off_levels,granularity_level,enhanced_acc,original_acc,delta_acc,original_failed_0p5,enhanced_failed_0p5
E-A,stress_pair_snr5_obs5,snr+obs,5+5,"-20,-18,-16,-14",5,2,1,,0.3507391835073918,0.2956055879560559,0.0551335955513359,True,True
E-A,stress_pair_snr5_chan5,snr+chan,5+5,"-20,-18,-16,-14",1,5,1,,0.4784348297843483,0.4217414892174149,0.056693340566933426,True,True
E-A,stress_pair_snr5_off5,snr+off,5+5,"-20,-18,-16,-14",1,2,5,,0.5912789909127899,0.4854197748541977,0.10585921605859222,True,False
E-A,stress_pair_snr5_gra5,snr+gra,5+5,"-20,-18,-16,-14",1,2,1,5.0,0.702088702020887,0.6250508612505086,0.07703784077037845,False,False
E-A,stress_pair_obs5_chan5,obs+chan,5+5,"-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",5,5,1,,0.3425772324642399,0.3266142915271213,0.015962940937118586,True,True
E-A,stress_pair_obs5_off5,obs+off,5+5,"-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",5,2,5,,0.526078020177992,0.4959153651131491,0.03016265506484289,True,False
E-A,stress_pair_obs5_gra5,obs+gra,5+5,"-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",5,2,1,5.0,0.5609147912819389,0.526589251619769,0.03432553966216989,False,False
E-A,stress_pair_chan5_off5,chan+off,5+5,"-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",1,5,5,,0.6297119367325008,0.6002691790040376,0.029442757728463165,False,False
E-A,stress_pair_chan5_gra5,chan+gra,5+5,"-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",1,5,1,5.0,0.6508915250346907,0.6278861101547257,0.02300541487996499,False,False
E-A,stress_pair_off5_gra5,off+gra,5+5,"-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",1,2,5,5.0,0.8771166546683777,0.8473608980980104,0.02975575657036733,False,False
E-A,stress_all_snr5_obs5_chan5_off5_gra5,snr+obs+chan+off+gra,5+5+5+5+5,"-20,-18,-16,-14",5,5,5,5.0,0.1949681269496812,0.179031601790316,0.015936525159365195,True,True
IQFormer,stress_pair_snr5_obs5,snr+obs,5+5,"-20,-18,-16,-14",5,2,1,,0.7163298521632985,0.7016818120168181,0.014648040146480357,False,False
IQFormer,stress_pair_snr5_chan5,snr+chan,5+5,"-20,-18,-16,-14",4,5,1,,0.409127899091279,0.394208598942086,0.014919300149193016,True,True
IQFormer,stress_pair_snr5_off5,snr+off,5+5,"-20,-18,-16,-14",4,2,5,,0.7762104977621049,0.7274515122745151,0.048758985487589834,False,False
IQFormer,stress_pair_snr5_gra5,snr+gra,5+5,"-20,-18,-16,-14",4,2,1,5.0,0.860301098603011,0.8160857181608572,0.044215380442153784,False,False
IQFormer,stress_pair_obs5_chan5,obs+chan,5+5,"-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18",5,5,1,,0.4601915147569444,0.4484998914930556,0.01169162326388884,True,True
IQFormer,stress_pair_obs5_off5,obs+off,5+5,"-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18",5,2,5,,0.8167046440972222,0.7873806423611112,0.02932400173611105,False,False
IQFormer,stress_pair_obs5_gra5,obs+gra,5+5,"-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18",5,2,1,5.0,0.8715684678819444,0.8457166883680556,0.02585177951388884,False,False
IQFormer,stress_pair_chan5_off5,chan+off,5+5,"-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18",4,5,5,,0.5667182074652778,0.5605875651041666,0.0061306423611111605,False,False
IQFormer,stress_pair_chan5_gra5,chan+gra,5+5,"-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18",4,5,1,5.0,0.5688340928819444,0.5553927951388888,0.01344129774305558,False,False
IQFormer,stress_pair_off5_gra5,off+gra,5+5,"-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18",4,2,5,5.0,0.9563395182291666,0.9449055989583334,0.01143391927083326,False,False
IQFormer,stress_all_snr5_obs5_chan5_off5_gra5,snr+obs+chan+off+gra,5+5+5+5+5,"-20,-18,-16,-14",5,5,5,5.0,0.3040824630408246,0.2866540078665401,0.017428455174284485,True,True
MCNet,stress_pair_snr5_obs5,snr+obs,5+5,"-20,-18,-16,-14",5,2,1,,0.3888512138885121,0.0476739454767394,0.3411772684117727,True,True
MCNet,stress_pair_snr5_chan5,snr+chan,5+5,"-20,-18,-16,-14",1,5,1,,0.462498304624983,0.3900040689000407,0.07249423572494229,True,True
MCNet,stress_pair_snr5_off5,snr+off,5+5,"-20,-18,-16,-14",1,2,5,,0.5912111759121118,0.5006103350061033,0.0906008409060085,False,False
MCNet,stress_pair_snr5_gra5,snr+gra,5+5,"-20,-18,-16,-14",1,2,1,5.0,0.7100908721009087,0.6339346263393463,0.07615624576156244,False,False
MCNet,stress_pair_obs5_chan5,obs+chan,5+5,"-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",5,5,1,,0.3684100702160735,0.3181111563220549,0.05029891389401864,True,True
MCNet,stress_pair_obs5_off5,obs+off,5+5,"-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",5,2,5,,0.5359583502874373,0.459242334136697,0.07671601615074031,True,False
MCNet,stress_pair_obs5_gra5,obs+gra,5+5,"-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",5,2,1,5.0,0.599048483520611,0.5242417603054869,0.07480672321512416,False,False
MCNet,stress_pair_chan5_off5,chan+off,5+5,"-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",1,5,5,,0.6126952330276378,0.5834402746043172,0.0292549584233206,False,False
MCNet,stress_pair_chan5_gra5,chan+gra,5+5,"-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",1,5,1,5.0,0.6359301803916659,0.6113180381232589,0.024612142268407022,False,False
MCNet,stress_pair_off5_gra5,off+gra,5+5,"-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",1,2,5,5.0,0.8458689369515999,0.8176468747065636,0.028222062245036317,False,False
MCNet,stress_all_snr5_obs5_chan5_off5_gra5,snr+obs+chan+off+gra,5+5+5+5+5,"-20,-18,-16,-14",5,5,5,5.0,0.1926624169266241,0.0567611555676115,0.13590126135901262,True,True
Tr-AMR,stress_pair_snr5_obs5,snr+obs,5+5,"-20,-18,-16,-14",5,2,1,,0.3027261630272616,0.2579004475790045,0.044825715448257086,True,True
Tr-AMR,stress_pair_snr5_chan5,snr+chan,5+5,"-20,-18,-16,-14",1,5,1,,0.3819340838193408,0.3632171436321714,0.018716940187169406,True,True
